width	height	arkid
250.0	182.0	m3eda098b0-e5bd-4dfb-a7c1-dc19858b1659
198.0	250.0	m3a192faeb-fefe-42fa-ae7a-ce713d73ae74
242.0	250.0	m3d6b2766f-72dd-4bd9-91ac-36bf38c85604
214.0	250.0	m3844f7891-ef7c-4862-a44a-892aac709ace
250.0	181.0	m31edc9c00-49db-4830-92e5-015f157cf08a
155.0	250.0	m329589c52-d32d-45b8-b639-2018c0868fe9
250.0	115.0	m3ca99c694-66ab-4f93-bb3a-ba051aa86882
250.0	211.0	m3c4ccb308-5241-4fb3-8c7d-d8afe30b12d4
182.0	250.0	m39b890562-39bf-430c-9b9b-14e3422f8d12
120.0	249.0	m3c4eff518-9020-4f6d-868c-7939d933fec1
248.0	250.0	m3ad5ba09a-141c-4ce1-9faa-fd1c8ca751f6
248.0	250.0	m33e658a24-2748-4a0f-9383-a6d80a8f369e
238.0	250.0	m3896281d6-d4af-4d12-967b-1891e0bc9335
250.0	241.0	m32b19fea4-501f-411a-97fd-7695e94a9586
206.0	250.0	m32b4bfa00-a4d1-47e0-a1bd-65e7e27b7218
217.0	250.0	m30236128b-f783-4841-b7df-41f13b4359a7
249.0	141.0	m38fc3d928-d165-4e4d-8061-186375f434da
250.0	200.0	m3fc5993dd-512e-4433-ad97-2139ea7f106e
250.0	200.0	m3716eaac5-ee88-4fb4-b634-85cb2e3b3d1d
194.0	250.0	m32a125dd5-3fc3-46d5-912f-5c5af52349a5
204.0	250.0	m3ea043ef3-2b0d-4113-aba9-10cd706e243c
250.0	184.0	m38a7396ca-d9ee-4e4c-abe2-c29b729be275
184.0	250.0	m3c1ca7685-75ce-4767-9205-c2d95872886c
185.0	250.0	m3f0c9a1da-eedc-4dd5-82ba-1251ff9f2860
250.0	222.0	m3bc06a1bb-149e-4adf-9bd4-08b962e3ca03
157.0	250.0	m3ac71cc0c-1a2a-45a0-a4d8-91148f6bf53f
250.0	205.0	m3779fdb2b-7131-40cb-a9e6-49cd268194de
188.0	250.0	m3c3a15810-71d4-407c-a3be-a21677065b6b
200.0	250.0	m3be4d0ab4-02c4-4d15-89bf-1d3565b25791
250.0	217.0	m3ac6ca41a-161b-4b03-b6a1-6aa3dffcddaa
250.0	200.0	m313700b79-ea6f-454c-821e-9e5acdd77863
250.0	192.0	m3adf916cc-4870-4192-adbf-85b490bafd29
250.0	192.0	m3fca8defe-e449-4ac0-a8fa-42d29f56202e
250.0	198.0	m3fc12be43-8a7e-4a8c-960c-636f519eb05e
203.0	250.0	m39921107f-5a29-4800-93f4-ff0f2544904f
250.0	235.0	m364e8b875-3d94-4d7c-bcbc-0089fd24c7be
236.0	250.0	m3fa24e832-22f1-4de2-b747-069b515d82e2
250.0	209.0	m3a7b4406e-0766-4b3b-98e1-c0f15dfe9af9
215.0	250.0	m3e30fa6dc-f44b-4f60-b85f-acd93047a75c
250.0	228.0	m3b42825a3-a9a5-4d6b-ba83-31191b2d6309
248.0	250.0	m332b380a9-5649-4c5e-ae8d-8df0e3464247
249.0	163.0	m35151248d-939f-4999-9f9a-ce18a8e5c538
250.0	205.0	m3fce42ac8-1938-49da-948e-87782c6e8df6
250.0	198.0	m3f0ddae71-7db2-4d1a-ae06-3a94134f0699
224.0	250.0	m3961f8b38-a711-4e26-b9fc-15a76e7622a3
250.0	197.0	m3087bf741-ef84-4954-add1-8d70e5e3c110
248.0	250.0	m362518864-9a8f-48bd-a10a-52acc2f6a61a
250.0	219.0	m3e24851e3-ade0-4bd2-9275-c96644f085d9
250.0	225.0	m34c2b17c7-ce17-422a-892d-28e57cc371cc
169.0	250.0	m381908c7c-b6c7-4dd5-94c3-8a73296f8fdc
250.0	180.0	m311684ac7-0cc5-43a6-97f3-40fa086155f8
250.0	142.0	m354b00ccd-9d83-4b2b-9d50-1b3d5a4ee3c2
250.0	240.0	m3a8fbae69-c212-4c3e-82f9-c5ea4f7f7215
