asset_name	image_arkid
NMNH-60694	http://n2t.net/ark:/65665/m3afd2f42c-06cd-4eb1-b203-642ed7cdede8
NMNH-114184	http://n2t.net/ark:/65665/m3fce4db9f-4c79-4349-8324-e1b0bb74cb3b
NMNH-17333	http://n2t.net/ark:/65665/m3c53cca72-2772-40be-9a6b-e2c13a2d5ad8
NMNH-17347	http://n2t.net/ark:/65665/m37c5f83ae-6f97-41f0-8e02-c1db0b2e7076
NMNH-52103	http://n2t.net/ark:/65665/m3a117c536-7963-4c70-99b8-68d3d6cf78a4
NMNH-114140	http://n2t.net/ark:/65665/m3330c50a9-b5ac-49ba-98d7-b2c7bca88ee7
NMNH-17352	http://n2t.net/ark:/65665/m3914b012d-0cbc-49bd-a364-520eb345b3ea
NMNH-17354	http://n2t.net/ark:/65665/m34230ff39-36e8-4f4e-b571-b6b5d249bfd4
NMNH-88348	http://n2t.net/ark:/65665/m355a23ed1-e628-4faf-8bdd-6d86cfdef611
NMNH-91680pieces	http://n2t.net/ark:/65665/m326d3c698-75b4-4dc7-b55b-dd50f247bb66
NMNH-91680	http://n2t.net/ark:/65665/m3ecd92707-8cac-483a-8d72-6db1d8dd8870
NMNH-114109	http://n2t.net/ark:/65665/m3346bd67c-2e1d-4b38-8e55-f555e1a5cfa8
NMNH-68144	http://n2t.net/ark:/65665/m358cf2006-3b42-4daf-b5e3-be8bb0a011ce
NMNH-114153	http://n2t.net/ark:/65665/m3d3aacc6d-30f5-4228-907f-a9aa28a39341
NMNH-114154	http://n2t.net/ark:/65665/m3a2bf68c4-0c6b-44fa-807d-6a8efcef316d
NMNH-72859	http://n2t.net/ark:/65665/m3c69d2b29-f045-4b40-9079-ab03893c6ce0
NMNH-10809	http://n2t.net/ark:/65665/m36f8204e8-19d0-49ae-9761-78e8e07e7989
NMNH-10809b	http://n2t.net/ark:/65665/m30fa4e208-c3a7-48b7-a56d-1d4244e15702
NMNH-114156	http://n2t.net/ark:/65665/m36715afa0-a272-40c2-a4cb-bb3b9e8f5aca
NMNH-114156b	http://n2t.net/ark:/65665/m3c7e7cbc5-fba6-4a68-8d63-3b2eae534820
NMNH-52103-000003	http://n2t.net/ark:/65665/m3cf52f55d-01e2-4a26-acce-e79f405b6ed0
NMNH-52103-000002	http://n2t.net/ark:/65665/m39e7c5bb3-68ff-436c-b3d3-6f3c1e290261
NMNH-52103-000001	http://n2t.net/ark:/65665/m32fc231b6-3507-4144-b731-cc39cbb7e897
NMNH-17342	http://n2t.net/ark:/65665/m3af090b3d-6de3-44b6-86be-59a0b705ed79
NMNH-17346	http://n2t.net/ark:/65665/m3077449a2-e683-4384-b8b4-11252196bcf9
NMNH-114103	http://n2t.net/ark:/65665/m374ecdc66-e721-4424-8644-301773d33039
NMNH-88646	http://n2t.net/ark:/65665/m368c5dcb2-3133-47b8-8b08-fd2e9bbfe80f
NMNH-92034	http://n2t.net/ark:/65665/m31384aa37-e457-4992-a244-29d99cd1908b
NMNH-100242-000001	http://n2t.net/ark:/65665/m39d4ec8a8-bcf0-467a-ae38-d699080c1ae7
NMNH-102519	http://n2t.net/ark:/65665/m3879ca334-fc28-4944-a25d-7a053d4e2793
NMNH-114166	http://n2t.net/ark:/65665/m320a0c176-de2f-4338-946e-f4650c26d667
NMNH-114167	http://n2t.net/ark:/65665/m335b2c75f-5487-4de5-9298-260e68a3dd65
NMNH-114168	http://n2t.net/ark:/65665/m3e38d9306-d3df-4b12-ad1f-195e37a8297e
NMNH-52071	http://n2t.net/ark:/65665/m3f6f1ec23-1808-4208-b230-1708190dc8ea
NMNH-65031	http://n2t.net/ark:/65665/m3c6d4495b-163e-49ed-b874-df0bb312c82f
NMNH-R010999_0000	http://n2t.net/ark:/65665/m3d142bdbe-2493-46e0-b5a6-1e2f91b6bdaa
NMNH-114089	http://n2t.net/ark:/65665/m3abfe8848-5746-432e-8277-641f593122ad
NMNH-36850	http://n2t.net/ark:/65665/m3571955c4-268b-4371-a5b0-59804b8b0ea5
NMNH-97887	http://n2t.net/ark:/65665/m36a46bd52-6360-4834-903b-946596f163fe
NMNH-54046-1	http://n2t.net/ark:/65665/m3d89a5fa6-223c-4827-b5cb-abdbc2f39018
NMNH-68381	http://n2t.net/ark:/65665/m339e9aaff-3184-42d6-8177-ca8ac733f486
NMNH-114079	http://n2t.net/ark:/65665/m39095524a-bded-4d9b-a802-cdf5332fc7c6
NMNH-114080	http://n2t.net/ark:/65665/m3cf768f25-2ced-454c-8c2e-5b06121c4c46
NMNH-87632	http://n2t.net/ark:/65665/m37ecf358f-ecdf-4436-abf2-24f33c03ec31
NMNH-114113	http://n2t.net/ark:/65665/m3bc97e91e-e379-4e93-9c4e-5c6ae58a52c5
NMNH-88054	http://n2t.net/ark:/65665/m34a7e8a7b-d2fc-4429-9c7c-86ce8c4abeb4
NMNH-88055	http://n2t.net/ark:/65665/m36b4ee4b7-66af-4baa-9874-4f25f50d9e9d
NMNH-117239-5	http://n2t.net/ark:/65665/m3ce9bae9e-fd5e-4771-9bb3-5a22f899f88d
NMNH-87632-000001	http://n2t.net/ark:/65665/m39f930437-1548-4631-8b98-bce4905c2d6b
NMNH-26938	http://n2t.net/ark:/65665/m3e4b6219f-a3a9-4854-bd95-40676689ba18
NMNH-72629	http://n2t.net/ark:/65665/m3e0c717a0-ec76-4d25-875d-6643a31427dc
NMNH-114081	http://n2t.net/ark:/65665/m35af442b9-1901-4a0c-aba0-49e6fa7b05f6
NMNH-114082	http://n2t.net/ark:/65665/m3eeb94c2a-a8d9-4b72-add3-85c113b6e2df
NMNH-17447	http://n2t.net/ark:/65665/m3fff20b1a-d5d5-4f54-8791-5ba9762ef640
NMNH-17447-b	http://n2t.net/ark:/65665/m3f01bf936-5816-47e5-b164-96d8f35b031f
NMNH-116661	http://n2t.net/ark:/65665/m3af306e05-73ee-4a40-9d0e-bb95390446c7
NMNH-78096.sm	http://n2t.net/ark:/65665/m31da62c26-d920-436d-a4f5-adf5bdcd8ac8
NMNH-78097.sm	http://n2t.net/ark:/65665/m3fb9ab5d1-8d13-4f07-b1ff-78655f65422e
NMNH-78098.sm	http://n2t.net/ark:/65665/m367085d9b-05b7-4af8-b42b-4bbfb21aa0f4
NMNH-79096	http://n2t.net/ark:/65665/m3e11d4442-0485-49b0-8083-dda2648c123e
NMNH-114125	http://n2t.net/ark:/65665/m3ceca6abf-4e1e-43f2-a3cc-b59d83710285
NMNH-114076	http://n2t.net/ark:/65665/m36a41e247-c5c7-4e49-a347-89a1d30ba2cc
NMNH-114137	http://n2t.net/ark:/65665/m3fceed396-e300-4ebd-bfb3-3be56729bb2b
NMNH-114138	http://n2t.net/ark:/65665/m307f6ddbe-a58e-4bd2-a22b-581a3ed155b6
NMNH-88032	http://n2t.net/ark:/65665/m304bb98f3-76a3-414f-90c2-856c8746ca74
NMNH-88035	http://n2t.net/ark:/65665/m3c689b776-995d-4de1-9522-cef5b31ee6cf
NMNH-114135	http://n2t.net/ark:/65665/m397674695-53bb-43e1-9a1c-7c718f52633f
NMNH-114136	http://n2t.net/ark:/65665/m38c9c8161-86c6-466c-9134-7e23d9f09ef2
NMNH-114139	http://n2t.net/ark:/65665/m30d3b64f4-f008-4dc5-b246-d7c814575db5
NMNH-91457	http://n2t.net/ark:/65665/m3eacf5b8d-98b1-42cc-b69b-2a7ea7ddea59
NMNH-25207	http://n2t.net/ark:/65665/m38a4a97af-d0d8-4d40-a9ec-bb4432a2ebfa
NMNH-90555	http://n2t.net/ark:/65665/m3d14b4a0a-84b5-4097-a55f-f0a19fca9d7c
NMNH-114145	http://n2t.net/ark:/65665/m3493e048b-239c-467c-b274-b45040b9582f
NMNH-114145-b	http://n2t.net/ark:/65665/m32f2606cd-7c07-42ac-921f-e988f6aab7d0
NMNH-114146	http://n2t.net/ark:/65665/m34c5db8f8-f9ed-4d05-ab35-d664270ee9dc
NMNH-91448	http://n2t.net/ark:/65665/m386a9b0a7-dec8-4434-affa-cef78d5b6720
NMNH-114147	http://n2t.net/ark:/65665/m3bbac175f-73a8-4d1b-a483-310cddcf7d75
NMNH-88037	http://n2t.net/ark:/65665/m36284c0f7-bb84-4bba-9597-d4b42f38e494
NMNH-113157and113154	http://n2t.net/ark:/65665/m3c7146b39-8caf-4191-8347-1d9103796eb7
NMNH-115997	http://n2t.net/ark:/65665/m34e6667aa-bc83-4d63-b4dc-a908ff8336c7
NMNH-60779	http://n2t.net/ark:/65665/m387fdca36-55be-4b8b-8b60-d450f2020765
NMNH-60783	http://n2t.net/ark:/65665/m39ef5b17a-91dc-41c8-97e2-a9681b605e51
NMNH-63643	http://n2t.net/ark:/65665/m317e4b722-1fc4-4342-ac8f-f4d5099a77d8
NMNH-70587	http://n2t.net/ark:/65665/m3be857b3a-0a71-4ee2-a014-f8539a7de910
NMNH-75259-000002	http://n2t.net/ark:/65665/m301ae3638-a2a9-48ce-8050-44a896f315d7
NMNH-75261-000001	http://n2t.net/ark:/65665/m3e0bf1768-d9d6-4776-981c-0b798378ffa2
NMNH-88789	http://n2t.net/ark:/65665/m3fe9d2383-4e85-4c86-bf49-7241b410223a
NMNH-91247	http://n2t.net/ark:/65665/m3699d30fe-acb9-4818-9ec7-3aa0562e21ed
NMNH-91423	http://n2t.net/ark:/65665/m32cc4ad34-3add-4b6d-95af-af5a41ff2f72
NMNH-116663-73	http://n2t.net/ark:/65665/m3b10a8f2e-91fd-4a0b-bfb8-c3b9c6fc51e0
NMNH-75775	http://n2t.net/ark:/65665/m3872af1c8-4266-4bd4-a1d9-2f9ed270aa26
