width	height	arkid
250.0	188.0	m3e6f4154d-7e5d-4b64-9815-a051d8b87390
188.0	250.0	m32e65eac6-9c16-46c2-8064-e8392bc0dd39
246.0	250.0	m3e7c25e84-85b8-4146-8edf-1dbf2de25ca3
250.0	233.0	m3d9973807-ee64-4265-8558-c65135c5afa9
250.0	207.0	m3f7bc6e36-f4b1-4448-88c2-416b6d6b6b5d
250.0	141.0	m31fe75710-3a5e-4cde-9ee6-db53dc06ee05
250.0	141.0	m37ada07bd-bc4f-4e7d-b395-f62d462d4c4c
250.0	141.0	m3757922af-6a82-4bf4-b444-f15217fe44d8
250.0	141.0	m3d46124b9-5a89-4fa3-994c-712524cfd737
250.0	141.0	m310a9076c-2d6e-48a4-bf3f-1e5574f18074
250.0	141.0	m39e26335f-55fd-46eb-b068-cb45cdb316b4
250.0	188.0	m3fb55886f-adb6-4daf-918c-5d6c7b95c46b
250.0	188.0	m3c8514774-634d-481e-83a3-70288b97e9aa
250.0	188.0	m3fa326df2-2192-4398-81e4-0215c9c3bfdf
250.0	188.0	m3f99a8220-0f18-4fc0-8592-3379321e574e
250.0	188.0	m3c13a3dee-4247-43ab-af5d-0eff41f26d05
250.0	188.0	m39e6101a9-abf3-47cf-b507-fc47b0710f7c
250.0	188.0	m381712378-d2d6-45ad-b337-24b653295c22
250.0	188.0	m38cfaeb32-7f5f-41da-a8af-d6f27c5a5321
250.0	176.0	m3182e5173-53e7-47a5-ac89-ed80add9f748
244.0	250.0	m3810da6a4-7dd7-4781-95ef-9b8d799499dd
250.0	243.0	m3410eea56-6a64-4b98-bbe8-6defa067e308
250.0	188.0	m38a771011-9083-40f9-908f-bb6b9cd4c68c
250.0	188.0	m3ac14baa8-c1fb-4d94-82cd-77cc2559c354
250.0	188.0	m3e18569ff-75a4-4311-a905-a73e6c8efa58
250.0	188.0	m347c58b54-2eca-4968-be78-33d92367514e
250.0	188.0	m31f7a2da2-0909-4353-a0f7-4672be13ec2e
250.0	188.0	m323fda4da-59a5-4e3f-8587-341a3b64516b
250.0	188.0	m3306ffe10-b683-4b52-ae49-03aa40556b4c
250.0	188.0	m39b01c7c2-9a7d-414c-a88f-984084eb4f34
250.0	188.0	m33b6b8086-aafb-4c48-b7a4-d4ecb5ac3893
250.0	188.0	m3ee1e1089-7826-4742-a657-ab40720a53be
250.0	188.0	m3d6870942-1459-4788-9553-888b1a33b6fa
250.0	188.0	m38b430c6f-2103-47a5-9968-f0d2dc9d33fc
250.0	188.0	m3a1a66cfb-4836-4f88-93e7-245899744c68
250.0	188.0	m3d6d555ef-5869-49ae-993b-91eb8518e6e7
250.0	188.0	m32ae719ef-0073-4df8-974a-14952bebbf14
250.0	188.0	m33f88093f-df92-4e6b-8525-370b35fe1793
250.0	188.0	m39bca33ea-bbea-4990-9ba9-3017bd38ef52
249.0	187.0	m3e50b4eed-523c-44e5-89cb-f99bee1a6f1b
249.0	187.0	m38cdb86f3-1229-4d61-8e35-166420b9ac5e
